MATCH_ID,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,PENALTY_SHOOT_OUT,ATTENDANCE
mt74,2021-01-01,14-SEP-21 08.00.00.000000000 PM,Lille OSC,VfL Wolfsburg,Stade Pierre Mauroy,0,0,0,34314
mt75,2021-01-01,29-SEP-21 08.00.00.000000000 PM,RB Salzburg,Lille OSC,Red Bull Arena,2,1,0,24207
mt76,2021-01-01,29-SEP-21 08.00.00.000000000 PM,VfL Wolfsburg,Sevilla FC,Volkswagen Arena,1,1,0,11733
mt77,2021-01-01,20-OCT-21 05.45.00.000000000 PM,RB Salzburg,VfL Wolfsburg,Red Bull Arena,3,1,0,27500
mt78,2021-01-01,20-OCT-21 08.00.00.000000000 PM,Lille OSC,Sevilla FC,Stade Pierre Mauroy,0,0,0,34362
mt79,2021-01-01,02-NOV-21 05.45.00.000000000 PM,VfL Wolfsburg,RB Salzburg,Volkswagen Arena,2,1,0,16112
mt80,2021-01-01,02-NOV-21 08.00.00.000000000 PM,Sevilla FC,Lille OSC,Ramón Sánchez Pizjuán,1,2,0,29369
mt81,2021-01-01,23-NOV-21 08.00.00.000000000 PM,Lille OSC,RB Salzburg,Stade Pierre Mauroy,1,0,0,33573
mt82,2021-01-01,23-NOV-21 08.00.00.000000000 PM,Sevilla FC,VfL Wolfsburg,Ramón Sánchez Pizjuán,2,0,0,28663
mt83,2021-01-01,08-DEC-21 08.00.00.000000000 PM,RB Salzburg,Sevilla FC,Red Bull Arena,1,0,0,0
mt84,2021-01-01,08-DEC-21 08.00.00.000000000 PM,VfL Wolfsburg,Lille OSC,Volkswagen Arena,1,3,0,6544
mt85,2021-01-01,14-SEP-21 08.00.00.000000000 PM,Chelsea FC,Zenit St. Petersburg,Stamford Bridge,1,0,0,39252
mt86,2021-01-01,14-SEP-21 08.00.00.000000000 PM,Malmö FF,Juventus,Nya Malmö Stadion,0,3,0,5832
mt87,2021-01-01,29-SEP-21 05.45.00.000000000 PM,Zenit St. Petersburg,Malmö FF,Gazprom Arena,4,0,0,15339
mt88,2021-01-01,29-SEP-21 08.00.00.000000000 PM,Juventus,Chelsea FC,Allianz Stadium,1,0,0,19934
mt89,2021-01-01,20-OCT-21 08.00.00.000000000 PM,Zenit St. Petersburg,Juventus,Gazprom Arena,0,1,0,18717
mt90,2021-01-01,20-OCT-21 08.00.00.000000000 PM,Chelsea FC,Malmö FF,Stamford Bridge,4,0,0,39095
mt91,2021-01-01,02-NOV-21 05.45.00.000000000 PM,Malmö FF,Chelsea FC,Nya Malmö Stadion,0,1,0,19551
mt92,2021-01-01,02-NOV-21 08.00.00.000000000 PM,Juventus,Zenit St. Petersburg,Allianz Stadium,4,2,0,20053
mt93,2021-01-01,23-NOV-21 08.00.00.000000000 PM,Chelsea FC,Juventus,Stamford Bridge,4,0,0,39513
mt94,2021-01-01,23-NOV-21 08.00.00.000000000 PM,Malmö FF,Zenit St. Petersburg,Nya Malmö Stadion,1,1,0,19551
mt95,2021-01-01,08-DEC-21 05.45.00.000000000 PM,Zenit St. Petersburg,Chelsea FC,Gazprom Arena,3,3,0,29349
mt96,2021-01-01,08-DEC-21 05.45.00.000000000 PM,Juventus,Malmö FF,Allianz Stadium,1,0,0,17501
mt97,2021-01-01,15-FEB-22 08.00.00.000000000 PM,Sporting CP,Manchester City,Estádio José Alvalade,0,5,0,48129
mt98,2021-01-01,15-FEB-22 08.00.00.000000000 PM,Paris Saint-Germain,Real Madrid,Parc des Princes,1,0,0,47443
mt99,2021-01-01,16-FEB-22 08.00.00.000000000 PM,RB Salzburg,Bayern München,Red Bull Arena,1,1,0,29520
mt100,2021-01-01,16-FEB-22 08.00.00.000000000 PM,Inter,Liverpool FC,Giuseppe Meazza,0,2,0,37918
mt101,2021-01-01,22-FEB-22 08.00.00.000000000 PM,Chelsea FC,Lille OSC,Stamford Bridge,2,0,0,38832
mt102,2021-01-01,22-FEB-22 08.00.00.000000000 PM,Villarreal CF,Juventus,Estadio de la Cerámica,1,1,0,17686
mt103,2021-01-01,23-FEB-22 08.00.00.000000000 PM,SL Benfica,AFC Ajax,Estádio da Luz,2,2,0,54760
mt104,2021-01-01,23-FEB-22 08.00.00.000000000 PM,Atlético Madrid,Manchester United,Wanda Metropolitano,1,1,0,63273
mt105,2021-01-01,08-MAR-22 08.00.00.000000000 PM,Bayern München,RB Salzburg,Allianz Arena,7,1,0,25000
mt106,2021-01-01,08-MAR-22 08.00.00.000000000 PM,Liverpool FC,Inter,Anfield,0,1,0,51747
mt107,2021-01-01,09-MAR-22 08.00.00.000000000 PM,Manchester City,Sporting CP,Etihad Stadium,0,0,0,51213
mt108,2021-01-01,09-MAR-22 08.00.00.000000000 PM,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,3,1,0,59895
mt109,2021-01-01,15-MAR-22 08.00.00.000000000 PM,AFC Ajax,SL Benfica,Johan Cruijff ArenA,0,1,0,54066
mt110,2021-01-01,15-MAR-22 08.00.00.000000000 PM,Manchester United,Atlético Madrid,Old Trafford,0,1,0,73008
mt111,2021-01-01,16-MAR-22 08.00.00.000000000 PM,Lille OSC,Chelsea FC,Stade Pierre Mauroy,1,2,0,49048
mt112,2021-01-01,16-MAR-22 08.00.00.000000000 PM,Juventus,Villarreal CF,Allianz Stadium,0,3,0,30385
mt113,2021-01-01,05-APR-22 08.00.00.000000000 PM,Manchester City,Atlético Madrid,Etihad Stadium,1,0,0,52018
mt114,2021-01-01,05-APR-22 08.00.00.000000000 PM,SL Benfica,Liverpool FC,Estádio da Luz,1,3,0,59633
mt115,2021-01-01,06-APR-22 08.00.00.000000000 PM,Chelsea FC,Real Madrid,Stamford Bridge,1,3,0,38689
mt116,2021-01-01,06-APR-22 08.00.00.000000000 PM,Villarreal CF,Bayern München,Estadio de la Cerámica,1,0,0,21626
mt117,2021-01-01,12-APR-22 08.00.00.000000000 PM,Real Madrid,Chelsea FC,Santiago Bernabéu,2,3,0,59839
mt118,2021-01-01,12-APR-22 08.00.00.000000000 PM,Bayern München,Villarreal CF,Allianz Arena,1,1,0,70000
mt119,2021-01-01,13-APR-22 08.00.00.000000000 PM,Atlético Madrid,Manchester City,Wanda Metropolitano,0,0,0,65675
mt120,2021-01-01,13-APR-22 08.00.00.000000000 PM,Liverpool FC,SL Benfica,Anfield,3,3,0,51373
mt121,2021-01-01,26-APR-22 08.00.00.000000000 PM,Manchester City,Real Madrid,Etihad Stadium,4,3,0,55097
mt122,2021-01-01,27-APR-22 08.00.00.000000000 PM,Liverpool FC,Villarreal CF,Anfield,2,0,0,51586
mt123,2021-01-01,03-MAY-22 08.00.00.000000000 PM,Villarreal CF,Liverpool FC,Estadio de la Cerámica,2,3,0,23665
mt124,2021-01-01,04-MAY-22 08.00.00.000000000 PM,Real Madrid,Manchester City,Santiago Bernabéu,3,1,0,61416
mt125,2021-01-01,28-MAY-22 08.35.00.000000000 PM,Liverpool FC,Real Madrid,Stade de France,0,1,0,0
